id,title,type,number,year,date,category,url,format,priority,status,local_path,size_bytes,sha256
civil_code_1949,القانون المدني السوري,قانون,84,1949,1949-05-18,مدني,https://alp-city.sy/File/DataBank/file/pVk4MEymEkihYCfxsTpxSboeA3XVBzaHyFbLJSjs.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/1949_القانون_المدني_السوري_84.pdf,1619137,41926cb1c232080c04de0140e814a4b682f0436eec9b4d5d7698598785415702
civil_procedure_2016,قانون أصول المحاكمات المدنية,قانون,1,2016,2016,أصول محاكمات مدنية,https://www.homsbar.org/wp-content/uploads/2016/01/%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A3%D8%B5%D9%88%D9%84-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%83%D9%85%D8%A7%D8%AA-%D8%B1%D9%82%D9%85-1-%D9%84%D8%B9%D8%A7%D9%85-2016.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/2016_قانون_أصول_المحاكمات_المدنية_1.pdf,1134509,cc55c3e6e97f9f01622b1e7c28eec2ccc10ae3439556796e8093baef1e921995
penal_code_1949,قانون العقوبات العام,قانون,148,1949,1949,جزائي,https://learningpartnership.org/sites/default/files/resources/pdfs/Syria-Penal-Cade-1949-Arabic.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/1949_قانون_العقوبات_العام_148.pdf,10071911,f7e8b46711aaccbc72a5100cd7ec5a07346a1f823adbc5b36e9a217b31a46ca6
criminal_procedure_1950,قانون أصول المحاكمات الجزائية,مرسوم تشريعي,112,1950,1950-03-13,أصول محاكمات جزائية,http://menarights.org/sites/default/files/2016-11/SYR_CodeOfCriminalProcedure_1950_2000_AR.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/1950_قانون_أصول_المحاكمات_الجزائية_112.pdf,361408,938a7045a145bf5aa385602d28bdbdb0b88d5f7045e676a41772f5cb7af4f1c1
evidence_law_1947,قانون البينات السوري,قانون,,2014,2014,بينات,https://www.syrian-lawyer.club/%d9%82%d8%a7%d9%86%d9%88%d9%86-%d8%a7%d9%84%d8%a8%d9%8a%d9%86%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88%d8%b1%d9%8a-%d9%84%d8%b9%d8%a7%d9%85-2014/,html,1,downloaded_html,content/legal_library/laws_decrees/markdown/2014_قانون_البينات_السوري_.md,83450,d175d2b4232b4499b7cea12f2c751775aff8cb5350544b90db0aa59fc8848113
companies_law_2011,قانون الشركات,مرسوم تشريعي,29,2011,2011,شركات,http://aic.gov.sy/files/62826_1552824346.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/2011_قانون_الشركات_29.pdf,638276,266374b73a7f66dd88709d033f7737c353a3d2d2562efb946004a55042317310
lease_law_2015,قانون الإيجارات,قانون,20,2015,2015-11-11,إيجارات,https://www.syrian-lawyer.club/wp-content/uploads/2019/08/%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%B1%D9%82%D9%85-20-%D9%84%D8%B9%D8%A7%D9%85-2015.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/2015_قانون_الإيجارات_20.pdf,220122,332a10c3f2cab63469d29c93a3117a595aef3b90fbd5f7157ace966da55c6777
real_estate_registry_1926,قانون السجل العقاري,قرار,188,1926,1926,عقاري / سجل عقاري,https://www.syrian-lawyer.club/wp-content/uploads/2019/03/7234224-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D8%AC%D9%84-%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/1926_قانون_السجل_العقاري_188.pdf,80490,f47bf89d4be380a742e3ff31cc0a31f0650c2e17ebe3c249856934c528d26903
labor_law_2010,قانون العمل,قانون,17,2010,2010-04-12,عمل وتأمينات,https://learningpartnership.org/sites/default/files/resources/pdfs/Syria-Labor-Law-2010-Arabic.pdf,pdf,1,downloaded,content/legal_library/laws_decrees/pdf/2010_قانون_العمل_17.pdf,3200405,8ec397491aa9e4a4e2894191d367723419190e996b434ebf05afbc302c627d8e
state_council_2019,قانون مجلس الدولة,قانون,32,2019,2019,إداري / مجلس الدولة,https://archive.sana.sy/%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%A3%D8%B3%D8%AF-%D9%8A%D8%B5%D8%AF%D8%B1-%D9%82%D8%A7%D9%86%D9%88%D9%86%D8%A7-%D9%8A%D8%AA%D8%B6%D9%85%D9%86-%D8%AA%D8%B4%D9%83%D9%8A%D9%84-%D9%85/,html,1,downloaded_html,content/legal_library/laws_decrees/markdown/2019_قانون_مجلس_الدولة_32.md,549331,df6e0fa6edf522e8b2f1ff060d63008cee2df1d1ba4e22d72c33c6d7bbe8ae3e
