id,title,category,mizan_classification,source_note,url,download_status,markdown_path,docx_path,raw_html_path
syrian_lawyer_1716,صيغة عقد مقاولة أعمال يصلح لكافة أعمال المقاولات,مقاولة,عقود واردة على العمل / الخدمة > مقاولة,منقول عن صيغ المحامي حازم الجزار بحسب الصفحة,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d9%85%d9%82%d8%a7%d9%88%d9%84%d8%a9-%d8%a3%d8%b9%d9%85%d8%a7%d9%84/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_مقاولة_أعمال_يصلح_لكافة_أعمال_المقاولات.md,content/legal_templates/contracts/docx/صيغة_عقد_مقاولة_أعمال_يصلح_لكافة_أعمال_المقاولات.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_1716.html
syrian_lawyer_2530,نموذج وصيغة عقد إيجار شقة سكنية أو منزل,إيجار,عقود واردة على الانتفاع > إيجار سكني,منقول عن المحامي حازم الجزار بحسب الصفحة,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d9%88%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a7%d9%8a%d8%ac%d8%a7%d8%b1-%d8%b4%d9%82%d8%a9-%d8%b3%d9%83%d9%86%d9%8a%d8%a9-%d8%a3%d9%88-%d9%85%d9%86%d8%b2%d9%84/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_إيجار_شقة_سكنية_أو_منزل.md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_إيجار_شقة_سكنية_أو_منزل.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_2530.html
syrian_lawyer_1712,عقد تأسيس شركة محاصة,شركة,عقود شركات / شراكات > عقد محاصة,نقلاً عن المحامي حازم الجزار بحسب الصفحة,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%aa%d8%a3%d8%b3%d9%8a%d8%b3-%d8%b4%d8%b1%d9%83%d8%a9-%d9%85%d8%ad%d8%a7%d8%b5%d8%a9-2/,downloaded,content/legal_templates/contracts/markdown/عقد_تأسيس_شركة_محاصة.md,content/legal_templates/contracts/docx/عقد_تأسيس_شركة_محاصة.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_1712.html
syrian_lawyer_car_sale,نموذج وصيغة عقد بيع قطعي لسيارة أو آلية,بيع,عقود واردة على الملكية > بيع مركبة,نموذج سوري منشور - غير مثبت أنه من حازم الجزار,https://www.syrian-lawyer.club/%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%B9%D9%82%D8%AF-%D8%A8%D9%8A%D8%B9-%D9%82%D8%B7%D8%B9%D9%8A-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9-%D8%A3%D9%88-%D8%A2%D9%84%D9%8A%D8%A9/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_بيع_قطعي_لسيارة_أو_آلية.md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_بيع_قطعي_لسيارة_أو_آلية.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_car_sale.html
syrian_lawyer_12245,نموذج عقد بيع عقار قطعي سوريا ( عقد مكتب عقاري) doc + pdf,بيع,عقود واردة على الملكية > بيع عقار,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%b9%d9%82%d8%a7%d8%b1-%d9%82%d8%b7%d8%b9%d9%8a-%d8%b3%d9%88%d8%b1%d9%8a%d8%a7-%d8%b9%d9%82%d8%af-%d9%85%d9%83%d8%aa%d8%a8/,downloaded,content/legal_templates/contracts/markdown/نموذج_عقد_بيع_عقار_قطعي_سوريا_(_عقد_مكتب_عقاري)_doc_+_pdf.md,content/legal_templates/contracts/docx/نموذج_عقد_بيع_عقار_قطعي_سوريا_(_عقد_مكتب_عقاري)_doc_+_pdf.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_12245.html
syrian_lawyer_10002,نموذج وصيغة عقد بيع متجر أو محل تجاري في سوريا,بيع,عقود واردة على الملكية > بيع متجر / محل تجاري,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d9%85%d8%aa%d8%ac%d8%b1-%d8%a3%d9%88-%d9%85%d8%ad%d9%84-%d8%aa%d8%ac%d8%a7%d8%b1%d9%8a-%d9%81%d9%8a-%d8%b3%d9%88%d8%b1%d9%8a%d8%a7/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_بيع_متجر_أو_محل_تجاري_في_سوريا.md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_بيع_متجر_أو_محل_تجاري_في_سوريا.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_10002.html
syrian_lawyer_10005,نموذج وصيغة عقد بيع منقول بالعينة,بيع,عقود واردة على الملكية > بيع منقول,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d9%88%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d9%85%d9%86%d9%82%d9%88%d9%84-%d8%a8%d8%a7%d9%84%d8%b9%d9%8a%d9%86%d8%a9/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_بيع_منقول_بالعينة.md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_بيع_منقول_بالعينة.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_10005.html
syrian_lawyer_10007,صيغة و نموذج عقد بيع بشرط المذاق أو التجربة,بيع,عقود واردة على الملكية > بيع منقول,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d9%88-%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%a8%d8%b4%d8%b1%d8%b7-%d8%a7%d9%84%d9%85%d8%b0%d8%a7%d9%82-%d8%a3%d9%88-%d8%a7%d9%84%d8%aa%d8%ac/,downloaded,content/legal_templates/contracts/markdown/صيغة_و_نموذج_عقد_بيع_بشرط_المذاق_أو_التجربة.md,content/legal_templates/contracts/docx/صيغة_و_نموذج_عقد_بيع_بشرط_المذاق_أو_التجربة.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_10007.html
syrian_lawyer_9986,نموذج عقد بيع منقول بشرط التجربة تقسيطاً,بيع,عقود واردة على الملكية > بيع منقول بالتقسيط,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d9%85%d9%86%d9%82%d9%88%d9%84-%d8%a8%d8%b4%d8%b1%d8%b7-%d8%a7%d9%84%d8%aa%d8%ac%d8%b1%d8%a8%d8%a9-%d8%aa%d9%82%d8%b3%d9%8a%d8%b7/,downloaded,content/legal_templates/contracts/markdown/نموذج_عقد_بيع_منقول_بشرط_التجربة_تقسيطاً.md,content/legal_templates/contracts/docx/نموذج_عقد_بيع_منقول_بشرط_التجربة_تقسيطاً.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9986.html
syrian_lawyer_9983,نموذج وصيغة عقد بيع منقول بشرط التجربة نقداً,بيع,عقود واردة على الملكية > بيع منقول,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d9%88%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d9%85%d9%86%d9%82%d9%88%d9%84-%d8%a8%d8%b4%d8%b1%d8%b7-%d8%a7%d9%84%d8%aa%d8%ac%d8%b1%d8%a8%d8%a9/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_بيع_منقول_بشرط_التجربة_نقداً.md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_بيع_منقول_بشرط_التجربة_نقداً.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9983.html
syrian_lawyer_9980,نموذج وصيغة عقد بيع منقول بالتقسيط ( بالأجل ),بيع,عقود واردة على الملكية > بيع منقول بالتقسيط,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d9%88%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d9%85%d9%86%d9%82%d9%88%d9%84-%d8%a8%d8%a7%d9%84%d8%aa%d9%82%d8%b3%d9%8a%d8%b7-%d8%a8%d8%a7%d9%84/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_بيع_منقول_بالتقسيط_(_بالأجل_).md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_بيع_منقول_بالتقسيط_(_بالأجل_).docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9980.html
syrian_lawyer_9914,نموذج وصيغة عقد بيع عقار بالعربون,بيع,عقود واردة على الملكية > بيع عقار,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d9%88%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%b9%d9%82%d8%a7%d8%b1-%d8%a8%d8%a7%d9%84%d8%b9%d8%b1%d8%a8%d9%88%d9%86/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_عقد_بيع_عقار_بالعربون.md,content/legal_templates/contracts/docx/نموذج_وصيغة_عقد_بيع_عقار_بالعربون.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9914.html
syrian_lawyer_9837,عقد بيع دار مسجلة بالسجل العقاري جاهزة للسكن بيعاً قطعياً بثمن نقدي,بيع,عقود واردة على الملكية > بيع عقار,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%af%d8%a7%d8%b1-%d9%85%d8%b3%d8%ac%d9%84%d8%a9-%d8%a8%d8%a7%d9%84%d8%b3%d8%ac%d9%84-%d8%a7%d9%84%d8%b9%d9%82%d8%a7%d8%b1%d9%8a-%d8%ac%d8%a7%d9%87%d8%b2%d8%a9/,downloaded,content/legal_templates/contracts/markdown/عقد_بيع_دار_مسجلة_بالسجل_العقاري_جاهزة_للسكن_بيعاً_قطعياً_بثمن_نقدي.md,content/legal_templates/contracts/docx/عقد_بيع_دار_مسجلة_بالسجل_العقاري_جاهزة_للسكن_بيعاً_قطعياً_بثمن_نقدي.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9837.html
syrian_lawyer_9840, نموذج عقد بیع دار مسجلة بالسجل العقاري جاهزة للسكن بثمن مقسط,بيع,عقود واردة على الملكية > بيع عقار بالتقسيط,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a8%db%8c%d8%b9-%d8%af%d8%a7%d8%b1-%d9%85%d8%b3%d8%ac%d9%84%d8%a9-%d8%a8%d8%a7%d9%84%d8%b3%d8%ac%d9%84-%d8%a7%d9%84%d8%b9%d9%82%d8%a7%d8%b1%d9%8a-%d8%ac%d8%a7%d9%87%d8%b2/,downloaded,content/legal_templates/contracts/markdown/نموذج_عقد_بیع_دار_مسجلة_بالسجل_العقاري_جاهزة_للسكن_بثمن_مقسط.md,content/legal_templates/contracts/docx/نموذج_عقد_بیع_دار_مسجلة_بالسجل_العقاري_جاهزة_للسكن_بثمن_مقسط.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9840.html
syrian_lawyer_9920,نموذج وصيغة نص عقد بيع أرض أو عقار زراعي وملحقاته,بيع,عقود واردة على الملكية > بيع عقار زراعي,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%a3%d8%b1%d8%b6-%d8%a3%d9%88-%d8%b9%d9%82%d8%a7%d8%b1-%d8%b2%d8%b1%d8%a7%d8%b9%d9%8a/,downloaded,content/legal_templates/contracts/markdown/نموذج_وصيغة_نص_عقد_بيع_أرض_أو_عقار_زراعي_وملحقاته.md,content/legal_templates/contracts/docx/نموذج_وصيغة_نص_عقد_بيع_أرض_أو_عقار_زراعي_وملحقاته.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9920.html
syrian_lawyer_9923,صيغة ونموذج عقد بيع حصة مفرزة من عقار زراعي من مالك الكل,بيع,عقود واردة على الملكية > بيع عقار زراعي,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d9%88%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%ad%d8%b5%d8%a9-%d9%85%d9%81%d8%b1%d8%b2%d8%a9-%d9%85%d9%86-%d8%b9%d9%82%d8%a7%d8%b1-%d8%b2%d8%b1/,downloaded,content/legal_templates/contracts/markdown/صيغة_ونموذج_عقد_بيع_حصة_مفرزة_من_عقار_زراعي_من_مالك_الكل.md,content/legal_templates/contracts/docx/صيغة_ونموذج_عقد_بيع_حصة_مفرزة_من_عقار_زراعي_من_مالك_الكل.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9923.html
syrian_lawyer_9926,نموذج صيغة عقد بيع حصة مفرزة من عقار زراعي من مالك مشتاع,بيع,عقود واردة على الملكية > بيع عقار زراعي,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%ad%d8%b5%d8%a9-%d9%85%d9%81%d8%b1%d8%b2%d8%a9-%d9%85%d9%86-%d8%b9%d9%82%d8%a7%d8%b1-%d8%b2%d8%b1%d8%a7/,downloaded,content/legal_templates/contracts/markdown/نموذج_صيغة_عقد_بيع_حصة_مفرزة_من_عقار_زراعي_من_مالك_مشتاع.md,content/legal_templates/contracts/docx/نموذج_صيغة_عقد_بيع_حصة_مفرزة_من_عقار_زراعي_من_مالك_مشتاع.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_9926.html
